,Year,Month,Day,Day of Year,Anomaly,Temperature,Month_Name
453,1881,3,29,88,0.023,8.613,March
454,1881,3,30,89,0.003,8.593,March
455,1881,3,31,90,-0.002,8.588,March
456,1881,4,1,91,-0.036,8.554,April
457,1881,4,2,92,-0.083,8.507,April
458,1881,4,3,93,-0.2,8.39,April
459,1881,4,4,94,-0.426,8.164,April
460,1881,4,5,95,-0.339,8.251,April
461,1881,4,6,96,-0.048,8.542,April
462,1881,4,7,97,-0.076,8.514,April
463,1881,4,8,98,-0.097,8.493,April
464,1881,4,9,99,-0.062,8.528,April
465,1881,4,10,100,-0.157,8.433,April
466,1881,4,11,101,-0.137,8.453,April
467,1881,4,12,102,-0.173,8.417,April
468,1881,4,13,103,-0.148,8.442,April
469,1881,4,14,104,0.033,8.623,April
470,1881,4,15,105,0.001,8.591,April
471,1881,4,16,106,0.172,8.762,April
472,1881,4,17,107,0.285,8.875,April
473,1881,4,18,108,0.168,8.758,April
474,1881,4,19,109,0.125,8.715,April
475,1881,4,20,110,0.169,8.759,April
476,1881,4,21,111,0.128,8.718,April
477,1881,4,22,112,0.139,8.729,April
478,1881,4,23,113,0.164,8.754,April
479,1881,4,24,114,0.242,8.832,April
480,1881,4,25,115,0.202,8.792,April
481,1881,4,26,116,0.233,8.823,April
482,1881,4,27,117,0.263,8.853,April
483,1881,4,28,118,0.094,8.684,April
484,1881,4,29,119,0.015,8.605,April
485,1881,4,30,120,-0.037,8.552999999999999,April
486,1881,5,1,121,-0.109,8.481,May
487,1881,5,2,122,-0.135,8.455,May
488,1881,5,3,123,0.008,8.597999999999999,May
489,1881,5,4,124,-0.036,8.554,May
490,1881,5,5,125,0.074,8.664,May
491,1881,5,6,126,0.057,8.647,May
492,1881,5,7,127,0.154,8.744,May
493,1881,5,8,128,0.252,8.842,May
494,1881,5,9,129,0.147,8.737,May
495,1881,5,10,130,0.07,8.66,May
496,1881,5,11,131,0.041,8.631,May
497,1881,5,12,132,0.022,8.612,May
498,1881,5,13,133,-0.026,8.564,May
499,1881,5,14,134,0.058,8.648,May
500,1881,5,15,135,0.062,8.652,May
501,1881,5,16,136,-0.106,8.484,May
502,1881,5,17,137,-0.216,8.374,May
503,1881,5,18,138,-0.267,8.323,May
504,1881,5,19,139,-0.236,8.354,May
505,1881,5,20,140,-0.151,8.439,May
506,1881,5,21,141,-0.198,8.392,May
507,1881,5,22,142,-0.216,8.374,May
508,1881,5,23,143,-0.104,8.486,May
509,1881,5,24,144,-0.113,8.477,May
510,1881,5,25,145,-0.125,8.465,May
511,1881,5,26,146,-0.195,8.395,May
512,1881,5,27,147,-0.25,8.34,May
513,1881,5,28,148,-0.465,8.125,May
514,1881,5,29,149,-0.48,8.11,May
515,1881,5,30,150,-0.389,8.201,May
516,1881,5,31,151,-0.307,8.283,May
517,1881,6,1,152,-0.359,8.231,June
518,1881,6,2,153,-0.367,8.222999999999999,June
519,1881,6,3,154,-0.594,7.9959999999999996,June
520,1881,6,4,155,-0.588,8.002,June
521,1881,6,5,156,-0.637,7.952999999999999,June
522,1881,6,6,157,-0.575,8.015,June
523,1881,6,7,158,-0.576,8.014,June
524,1881,6,8,159,-0.527,8.063,June
525,1881,6,9,160,-0.487,8.103,June
526,1881,6,10,161,-0.492,8.097999999999999,June
527,1881,6,11,162,-0.687,7.903,June
528,1881,6,12,163,-0.707,7.883,June
529,1881,6,13,164,-0.693,7.897,June
530,1881,6,14,165,-0.665,7.925,June
531,1881,6,15,166,-0.775,7.8149999999999995,June
532,1881,6,16,167,-0.802,7.788,June
533,1881,6,17,168,-0.849,7.741,June
534,1881,6,18,169,-0.748,7.842,June
535,1881,6,19,170,-0.717,7.873,June
536,1881,6,20,171,-0.682,7.9079999999999995,June
537,1881,6,21,172,-0.599,7.991,June
538,1881,6,22,173,-0.558,8.032,June
539,1881,6,23,174,-0.545,8.045,June
540,1881,6,24,175,-0.53,8.06,June
541,1881,6,25,176,-0.608,7.982,June
542,1881,6,26,177,-0.472,8.118,June
543,1881,6,27,178,-0.533,8.057,June
544,1881,6,28,179,-0.275,8.315,June
545,1881,6,29,180,-0.136,8.454,June
546,1881,6,30,181,-0.199,8.391,June
547,1881,7,1,182,-0.102,8.488,July
548,1881,7,2,183,-0.148,8.442,July
549,1881,7,3,184,-0.052,8.538,July
550,1881,7,4,185,0.026,8.616,July
551,1881,7,5,186,0.044,8.634,July
552,1881,7,6,187,-0.021,8.568999999999999,July
553,1881,7,7,188,-0.317,8.273,July
554,1881,7,8,189,-0.342,8.248,July
555,1881,7,9,190,-0.335,8.254999999999999,July
556,1881,7,10,191,-0.285,8.305,July
557,1881,7,11,192,-0.236,8.354,July
558,1881,7,12,193,-0.16,8.43,July
559,1881,7,13,194,-0.132,8.458,July
560,1881,7,14,195,-0.078,8.512,July
561,1881,7,15,196,-0.118,8.472,July
562,1881,7,16,197,-0.191,8.399,July
563,1881,7,17,198,-0.031,8.559,July
564,1881,7,18,199,-0.084,8.506,July
565,1881,7,19,200,-0.207,8.383,July
566,1881,7,20,201,-0.157,8.433,July
567,1881,7,21,202,-0.162,8.427999999999999,July
568,1881,7,22,203,-0.023,8.567,July
569,1881,7,23,204,-0.147,8.443,July
570,1881,7,24,205,-0.02,8.57,July
571,1881,7,25,206,0.081,8.671,July
572,1881,7,26,207,-0.048,8.542,July
573,1881,7,27,208,-0.022,8.568,July
574,1881,7,28,209,-0.111,8.479,July
575,1881,7,29,210,-0.19,8.4,July
576,1881,7,30,211,-0.125,8.465,July
577,1881,7,31,212,-0.092,8.498,July
578,1881,8,1,213,-0.023,8.567,August
579,1881,8,2,214,-0.023,8.567,August
580,1881,8,3,215,-0.053,8.536999999999999,August
581,1881,8,4,216,-0.014,8.576,August
582,1881,8,5,217,0.088,8.677999999999999,August
583,1881,8,6,218,0.026,8.616,August
584,1881,8,7,219,-0.123,8.467,August
585,1881,8,8,220,-0.17,8.42,August
586,1881,8,9,221,-0.099,8.491,August
587,1881,8,10,222,-0.032,8.558,August
588,1881,8,11,223,-0.051,8.539,August
589,1881,8,12,224,-0.108,8.482,August
590,1881,8,13,225,-0.248,8.342,August
591,1881,8,14,226,-0.169,8.421,August
592,1881,8,15,227,-0.235,8.355,August
593,1881,8,16,228,-0.121,8.469,August
594,1881,8,17,229,-0.218,8.372,August
595,1881,8,18,230,-0.168,8.422,August
596,1881,8,19,231,-0.067,8.523,August
597,1881,8,20,232,0.078,8.668,August
598,1881,8,21,233,0.103,8.693,August
599,1881,8,22,234,0.003,8.593,August
600,1881,8,23,235,-0.104,8.486,August
601,1881,8,24,236,-0.126,8.464,August
602,1881,8,25,237,-0.046,8.544,August
603,1881,8,26,238,0.049,8.639,August
604,1881,8,27,239,0.194,8.784,August
605,1881,8,28,240,0.206,8.796,August
606,1881,8,29,241,-0.035,8.555,August
607,1881,8,30,242,-0.134,8.456,August
608,1881,8,31,243,-0.207,8.383,August
609,1881,9,1,244,-0.275,8.315,September
610,1881,9,2,245,-0.278,8.312,September
611,1881,9,3,246,-0.072,8.518,September
612,1881,9,4,247,-0.125,8.465,September
613,1881,9,5,248,-0.332,8.258,September
614,1881,9,6,249,-0.334,8.256,September
615,1881,9,7,250,-0.347,8.243,September
616,1881,9,8,251,-0.352,8.238,September
617,1881,9,9,252,-0.419,8.171,September
618,1881,9,10,253,-0.261,8.329,September
619,1881,9,11,254,-0.222,8.368,September
620,1881,9,12,255,-0.395,8.195,September
621,1881,9,13,256,-0.306,8.284,September
